Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.47000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  5.39847E-05
 -12  -12 Ray Error
 -12   12 Ray Error
  12  -12 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -12	 -11	 -3.25000E+01	 -3.03053E+01	  4.09040E+01	  3.87959E+00	  3.55630E+00	  3.47141E+00	  3.18192E+00	   -10.523941%
 -12	 -10	 -3.25000E+01	 -2.79857E+01	  3.97324E+01	  3.87959E+00	  3.23300E+00	  3.33616E+00	  2.77988E+00	   -14.010743%
 -12	  -9	 -3.25000E+01	 -2.55618E+01	  3.85908E+01	  3.87959E+00	  2.90970E+00	  3.33202E+00	  2.49874E+00	   -14.117623%
 -12	  -8	 -3.25000E+01	 -2.30357E+01	  3.74944E+01	  3.87959E+00	  2.58640E+00	  3.34489E+00	  2.22966E+00	   -13.785609%
 -12	  -7	 -3.25000E+01	 -2.04113E+01	  3.64603E+01	  3.87959E+00	  2.26310E+00	  3.36276E+00	  1.96135E+00	   -13.324827%
 -12	  -6	 -3.25000E+01	 -1.76943E+01	  3.55070E+01	  3.87959E+00	  1.93980E+00	  3.38164E+00	  1.69057E+00	   -12.837747%
 -12	  -5	 -3.25000E+01	 -1.48927E+01	  3.46542E+01	  3.87959E+00	  1.61650E+00	  3.39964E+00	  1.41627E+00	   -12.373556%
 -12	  -4	 -3.25000E+01	 -1.20163E+01	  3.39215E+01	  3.87959E+00	  1.29320E+00	  3.41559E+00	  1.13830E+00	   -11.961804%
 -12	  -3	 -3.25000E+01	 -9.07711E+00	  3.33277E+01	  3.87959E+00	  9.69900E-01	  3.42873E+00	  8.56957E-01	   -11.622652%
 -12	  -2	 -3.25000E+01	 -6.08901E+00	  3.28897E+01	  3.87959E+00	  6.46600E-01	  3.43850E+00	  5.72862E-01	   -11.370460%
 -12	  -1	 -3.25000E+01	 -3.06731E+00	  3.26206E+01	  3.87959E+00	  3.23300E-01	  3.44451E+00	  2.86824E-01	   -11.215097%
 -12	   0	 -3.25000E+01	 -2.84622E-02	  3.25287E+01	  3.87959E+00	 -0.00000E+00	  3.44654E+00	 -2.17514E-04	   -11.162405%
