Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.52000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref = -6.34891E-10
 -12  -12 Ray Error
 -12  -11 Ray Error
 -12   11 Ray Error
 -12   12 Ray Error
 -11  -12 Ray Error
 -11   12 Ray Error
  11  -12 Ray Error
  11   12 Ray Error
  12  -12 Ray Error
  12  -11 Ray Error
  12   11 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -12	 -10	 -3.25000E+01	 -2.79857E+01	  3.97301E+01	  3.87834E+00	  3.23196E+00	  3.35352E+00	  2.79437E+00	   -13.535046%
 -12	  -9	 -3.25000E+01	 -2.55618E+01	  3.85886E+01	  3.87834E+00	  2.90876E+00	  3.33881E+00	  2.50386E+00	   -13.914490%
 -12	  -8	 -3.25000E+01	 -2.30357E+01	  3.74923E+01	  3.87834E+00	  2.58557E+00	  3.34810E+00	  2.23181E+00	   -13.674825%
 -12	  -7	 -3.25000E+01	 -2.04113E+01	  3.64583E+01	  3.87834E+00	  2.26237E+00	  3.36424E+00	  1.96222E+00	   -13.258594%
 -12	  -6	 -3.25000E+01	 -1.76943E+01	  3.55051E+01	  3.87834E+00	  1.93917E+00	  3.38217E+00	  1.69084E+00	   -12.795917%
 -12	  -5	 -3.25000E+01	 -1.48927E+01	  3.46523E+01	  3.87834E+00	  1.61598E+00	  3.39961E+00	  1.41627E+00	   -12.345891%
 -12	  -4	 -3.25000E+01	 -1.20163E+01	  3.39197E+01	  3.87834E+00	  1.29278E+00	  3.41523E+00	  1.13818E+00	   -11.942586%
 -12	  -3	 -3.25000E+01	 -9.07711E+00	  3.33260E+01	  3.87834E+00	  9.69587E-01	  3.42817E+00	  8.56823E-01	   -11.608498%
 -12	  -2	 -3.25000E+01	 -6.08901E+00	  3.28880E+01	  3.87834E+00	  6.46391E-01	  3.43782E+00	  5.72755E-01	   -11.359268%
 -12	  -1	 -3.25000E+01	 -3.06731E+00	  3.26189E+01	  3.87834E+00	  3.23196E-01	  3.44377E+00	  2.86768E-01	   -11.205470%
 -12	   0	 -3.25000E+01	 -2.84622E-02	  3.25271E+01	  3.87834E+00	 -0.00000E+00	  3.44578E+00	 -2.11879E-04	   -11.153303%
 -12	   1	 -3.25000E+01	  3.01055E+00	  3.26155E+01	  3.87834E+00	 -3.23196E-01	  3.44376E+00	 -2.87193E-01	   -11.204835%
 -12	   2	 -3.25000E+01	  6.03272E+00	  3.28814E+01	  3.87834E+00	 -6.46391E-01	  3.43780E+00	 -5.73182E-01	   -11.358063%
 -12	   3	 -3.25000E+01	  9.02159E+00	  3.33163E+01	  3.87834E+00	 -9.69587E-01	  3.42813E+00	 -8.57254E-01	   -11.606862%
 -12	   4	 -3.25000E+01	  1.19618E+01	  3.39072E+01	  3.87834E+00	 -1.29278E+00	  3.41517E+00	 -1.13862E+00	   -11.940740%
 -12	   5	 -3.25000E+01	  1.48395E+01	  3.46374E+01	  3.87834E+00	 -1.61598E+00	  3.39951E+00	 -1.41670E+00	   -12.344173%
 -12	   6	 -3.25000E+01	  1.76427E+01	  3.54882E+01	  3.87834E+00	 -1.93917E+00	  3.38202E+00	 -1.69125E+00	   -12.794850%
 -12	   7	 -3.25000E+01	  2.03613E+01	  3.64397E+01	  3.87834E+00	 -2.26237E+00	  3.36400E+00	 -1.96258E+00	   -13.259052%
 -12	   8	 -3.25000E+01	  2.29875E+01	  3.74724E+01	  3.87834E+00	 -2.58557E+00	  3.34772E+00	 -2.23207E+00	   -13.678500%
 -12	   9	 -3.25000E+01	  2.55154E+01	  3.85676E+01	  3.87834E+00	 -2.90876E+00	  3.33814E+00	 -2.50386E+00	   -13.925522%
 -12	  10	 -3.25000E+01	  2.79413E+01	  3.97084E+01	  3.87834E+00	 -3.23196E+00	  3.35192E+00	 -2.79350E+00	   -13.570499%
 -11	 -11	 -3.02841E+01	 -3.03053E+01	  3.96150E+01	  3.55514E+00	  3.55515E+00	  3.07048E+00	  3.07024E+00	   -13.636162%
 -11	 -10	 -3.02841E+01	 -2.79857E+01	  3.83389E+01	  3.55514E+00	  3.23196E+00	  3.06153E+00	  2.78296E+00	   -13.888046%
 -11	  -9	 -3.02841E+01	 -2.55618E+01	  3.70885E+01	  3.55514E+00	  2.90876E+00	  3.07440E+00	  2.51517E+00	   -13.525919%
 -11	  -8	 -3.02841E+01	 -2.30357E+01	  3.58806E+01	  3.55514E+00	  2.58557E+00	  3.09368E+00	  2.24970E+00	   -12.983528%
 -11	  -7	 -3.02841E+01	 -2.04113E+01	  3.47345E+01	  3.55514E+00	  2.26237E+00	  3.11480E+00	  1.98191E+00	   -12.389153%
 -11	  -6	 -3.02841E+01	 -1.76943E+01	  3.36717E+01	  3.55514E+00	  1.93917E+00	  3.13566E+00	  1.71013E+00	   -11.802172%
 -11	  -5	 -3.02841E+01	 -1.48927E+01	  3.27152E+01	  3.55514E+00	  1.61598E+00	  3.15498E+00	  1.43387E+00	   -11.258259%
 -11	  -4	 -3.02841E+01	 -1.20163E+01	  3.18890E+01	  3.55514E+00	  1.29278E+00	  3.17188E+00	  1.15321E+00	   -10.782418%
 -11	  -3	 -3.02841E+01	 -9.07711E+00	  3.12162E+01	  3.55514E+00	  9.69587E-01	  3.18569E+00	  8.68628E-01	   -10.393434%
 -11	  -2	 -3.02841E+01	 -6.08901E+00	  3.07178E+01	  3.55514E+00	  6.46391E-01	  3.19591E+00	  5.80884E-01	   -10.105443%
 -11	  -1	 -3.02841E+01	 -3.06731E+00	  3.04107E+01	  3.55514E+00	  3.23196E-01	  3.20219E+00	  2.90920E-01	    -9.928459%
