Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.63000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref = -9.43229E-05
 -12  -12 Ray Error
 -12  -11 Ray Error
 -12   11 Ray Error
 -12   12 Ray Error
 -11  -12 Ray Error
 -11   12 Ray Error
  11  -12 Ray Error
  11   12 Ray Error
  12  -12 Ray Error
  12  -11 Ray Error
  12   11 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -12	 -10	 -3.25000E+01	 -2.79857E+01	  3.97277E+01	  3.87995E+00	  3.23331E+00	  3.39820E+00	  2.83165E+00	   -12.418930%
 -12	  -9	 -3.25000E+01	 -2.55618E+01	  3.85863E+01	  3.87995E+00	  2.90998E+00	  3.35872E+00	  2.51882E+00	   -13.436783%
 -12	  -8	 -3.25000E+01	 -2.30357E+01	  3.74901E+01	  3.87995E+00	  2.58665E+00	  3.36160E+00	  2.24084E+00	   -13.362480%
 -12	  -7	 -3.25000E+01	 -2.04113E+01	  3.64562E+01	  3.87995E+00	  2.26332E+00	  3.37486E+00	  1.96844E+00	   -13.020575%
 -12	  -6	 -3.25000E+01	 -1.76943E+01	  3.55031E+01	  3.87995E+00	  1.93999E+00	  3.39122E+00	  1.69538E+00	   -12.598584%
 -12	  -5	 -3.25000E+01	 -1.48927E+01	  3.46504E+01	  3.87995E+00	  1.61665E+00	  3.40772E+00	  1.41966E+00	   -12.173162%
 -12	  -4	 -3.25000E+01	 -1.20163E+01	  3.39178E+01	  3.87995E+00	  1.29332E+00	  3.42274E+00	  1.14070E+00	   -11.785565%
 -12	  -3	 -3.25000E+01	 -9.07711E+00	  3.33242E+01	  3.87995E+00	  9.69993E-01	  3.43529E+00	  8.58613E-01	   -11.461695%
 -12	  -2	 -3.25000E+01	 -6.08901E+00	  3.28862E+01	  3.87995E+00	  6.46662E-01	  3.44469E+00	  5.73911E-01	   -11.218934%
 -12	  -1	 -3.25000E+01	 -3.06731E+00	  3.26171E+01	  3.87995E+00	  3.23331E-01	  3.45050E+00	  2.87340E-01	   -11.068765%
 -12	   0	 -3.25000E+01	 -2.84622E-02	  3.25253E+01	  3.87995E+00	 -0.00000E+00	  3.45246E+00	 -2.01220E-04	   -11.017827%
 -12	   1	 -3.25000E+01	  3.01055E+00	  3.26137E+01	  3.87995E+00	 -3.23331E-01	  3.45049E+00	 -2.87743E-01	   -11.068322%
 -12	   2	 -3.25000E+01	  6.03272E+00	  3.28796E+01	  3.87995E+00	 -6.46662E-01	  3.44466E+00	 -5.74314E-01	   -11.218123%
 -12	   3	 -3.25000E+01	  9.02159E+00	  3.33145E+01	  3.87995E+00	 -9.69993E-01	  3.43523E+00	 -8.59017E-01	   -11.460676%
 -12	   4	 -3.25000E+01	  1.19618E+01	  3.39053E+01	  3.87995E+00	 -1.29332E+00	  3.42265E+00	 -1.14110E+00	   -11.784600%
 -12	   5	 -3.25000E+01	  1.48395E+01	  3.46355E+01	  3.87995E+00	 -1.61665E+00	  3.40758E+00	 -1.42005E+00	   -12.172655%
 -12	   6	 -3.25000E+01	  1.76427E+01	  3.54861E+01	  3.87995E+00	 -1.93999E+00	  3.39102E+00	 -1.69574E+00	   -12.599181%
 -12	   7	 -3.25000E+01	  2.03613E+01	  3.64376E+01	  3.87995E+00	 -2.26332E+00	  3.37455E+00	 -1.96872E+00	   -13.023400%
 -12	   8	 -3.25000E+01	  2.29875E+01	  3.74702E+01	  3.87995E+00	 -2.58665E+00	  3.36110E+00	 -2.24097E+00	   -13.369814%
 -12	   9	 -3.25000E+01	  2.55154E+01	  3.85653E+01	  3.87995E+00	 -2.90998E+00	  3.35780E+00	 -2.51858E+00	   -13.454876%
 -12	  10	 -3.25000E+01	  2.79413E+01	  3.97060E+01	  3.87995E+00	 -3.23331E+00	  3.39544E+00	 -2.82972E+00	   -12.485222%
 -11	 -11	 -3.02841E+01	 -3.03053E+01	  3.96126E+01	  3.55662E+00	  3.55664E+00	  3.10662E+00	  3.10642E+00	   -12.655486%
 -11	 -10	 -3.02841E+01	 -2.79857E+01	  3.83366E+01	  3.55662E+00	  3.23331E+00	  3.07794E+00	  2.79790E+00	   -13.462258%
 -11	  -9	 -3.02841E+01	 -2.55618E+01	  3.70863E+01	  3.55662E+00	  2.90998E+00	  3.08556E+00	  2.52432E+00	   -13.247914%
 -11	  -8	 -3.02841E+01	 -2.30357E+01	  3.58785E+01	  3.55662E+00	  2.58665E+00	  3.10248E+00	  2.25612E+00	   -12.772159%
 -11	  -7	 -3.02841E+01	 -2.04113E+01	  3.47326E+01	  3.55662E+00	  2.26332E+00	  3.12231E+00	  1.98670E+00	   -12.214274%
 -11	  -6	 -3.02841E+01	 -1.76943E+01	  3.36698E+01	  3.55662E+00	  1.93999E+00	  3.14238E+00	  1.71382E+00	   -11.649509%
 -11	  -5	 -3.02841E+01	 -1.48927E+01	  3.27134E+01	  3.55662E+00	  1.61665E+00	  3.16120E+00	  1.43671E+00	   -11.120063%
 -11	  -4	 -3.02841E+01	 -1.20163E+01	  3.18872E+01	  3.55662E+00	  1.29332E+00	  3.17776E+00	  1.15535E+00	   -10.654028%
 -11	  -3	 -3.02841E+01	 -9.07711E+00	  3.12145E+01	  3.55662E+00	  9.69993E-01	  3.19134E+00	  8.70178E-01	   -10.271749%
 -11	  -2	 -3.02841E+01	 -6.08901E+00	  3.07162E+01	  3.55662E+00	  6.46662E-01	  3.20141E+00	  5.81892E-01	    -9.988178%
 -11	  -1	 -3.02841E+01	 -3.06731E+00	  3.04091E+01	  3.55662E+00	  3.23331E-01	  3.20760E+00	  2.91421E-01	    -9.813747%
 -11	   0	 -3.02841E+01	 -2.84622E-02	  3.03042E+01	  3.55662E+00	 -0.00000E+00	  3.20968E+00	 -1.78009E-04	    -9.754672%
 -11	   1	 -3.02841E+01	  3.01055E+00	  3.04053E+01	  3.55662E+00	 -3.23331E-01	  3.20759E+00	 -2.91778E-01	    -9.813040%
 -11	   2	 -3.02841E+01	  6.03272E+00	  3.07086E+01	  3.55662E+00	 -6.46662E-01	  3.20139E+00	 -5.82254E-01	    -9.986829%
 -11	   3	 -3.02841E+01	  9.02159E+00	  3.12035E+01	  3.55662E+00	 -9.69993E-01	  3.19131E+00	 -8.70545E-01	   -10.269891%
 -11	   4	 -3.02841E+01	  1.19618E+01	  3.18732E+01	  3.55662E+00	 -1.29332E+00	  3.17771E+00	 -1.15573E+00	   -10.651870%
 -11	   5	 -3.02841E+01	  1.48395E+01	  3.26967E+01	  3.55662E+00	 -1.61665E+00	  3.16112E+00	 -1.43708E+00	   -11.117910%
 -11	   6	 -3.02841E+01	  1.76427E+01	  3.36509E+01	  3.55662E+00	 -1.93999E+00	  3.14227E+00	 -1.71418E+00	   -11.647802%
 -11	   7	 -3.02841E+01	  2.03613E+01	  3.47118E+01	  3.55662E+00	 -2.26332E+00	  3.12213E+00	 -1.98703E+00	   -12.213681%
 -11	   8	 -3.02841E+01	  2.29875E+01	  3.58565E+01	  3.55662E+00	 -2.58665E+00	  3.10220E+00	 -2.25637E+00	   -12.773807%
 -11	   9	 -3.02841E+01	  2.55154E+01	  3.70632E+01	  3.55662E+00	 -2.90998E+00	  3.08512E+00	 -2.52442E+00	   -13.254052%
 -11	  10	 -3.02841E+01	  2.79413E+01	  3.83129E+01	  3.55662E+00	 -3.23331E+00	  3.07712E+00	 -2.79761E+00	   -13.478913%
 -11	  11	 -3.02841E+01	  3.02629E+01	  3.95886E+01	  3.55662E+00	 -3.55664E+00	  3.10425E+00	 -3.10445E+00	   -12.716566%
 -10	 -12	 -2.79635E+01	 -3.25202E+01	  3.97299E+01	  3.23329E+00	  3.87997E+00	  2.83207E+00	  3.39829E+00	   -12.412267%
 -10	 -11	 -2.79635E+01	 -3.03053E+01	  3.83377E+01	  3.23329E+00	  3.55664E+00	  2.79816E+00	  3.07775E+00	   -13.461468%
 -10	 -10	 -2.79635E+01	 -2.79857E+01	  3.69502E+01	  3.23329E+00	  3.23331E+00	  2.80654E+00	  2.80631E+00	   -13.202434%
 -10	  -9	 -2.79635E+01	 -2.55618E+01	  3.55825E+01	  3.23329E+00	  2.90998E+00	  2.82491E+00	  2.54219E+00	   -12.634321%
 -10	  -8	 -2.79635E+01	 -2.30357E+01	  3.42528E+01	  3.23329E+00	  2.58665E+00	  2.84662E+00	  2.27708E+00	   -11.962424%
 -10	  -7	 -2.79635E+01	 -2.04113E+01	  3.29826E+01	  3.23329E+00	  2.26332E+00	  2.86902E+00	  2.00811E+00	   -11.269332%
 -10	  -6	 -2.79635E+01	 -1.76943E+01	  3.17966E+01	  3.23329E+00	  1.93999E+00	  2.89061E+00	  1.73417E+00	   -10.601141%
 -10	  -5	 -2.79635E+01	 -1.48927E+01	  3.07219E+01	  3.23329E+00	  1.61665E+00	  2.91038E+00	  1.45501E+00	    -9.989284%
 -10	  -4	 -2.79635E+01	 -1.20163E+01	  2.97873E+01	  3.23329E+00	  1.29332E+00	  2.92756E+00	  1.17085E+00	    -9.457571%
 -10	  -3	 -2.79635E+01	 -9.07711E+00	  2.90218E+01	  3.23329E+00	  9.69993E-01	  2.94154E+00	  8.82298E-01	    -9.024685%
 -10	  -2	 -2.79635E+01	 -6.08901E+00	  2.84520E+01	  3.23329E+00	  6.46662E-01	  2.95186E+00	  5.90214E-01	    -8.705013%
 -10	  -1	 -2.79635E+01	 -3.06731E+00	  2.80996E+01	  3.23329E+00	  3.23331E-01	  2.95819E+00	  2.95664E-01	    -8.508865%
